synset_id,"synset_word",anto_gender_id,"anto_gender_word"
5647,"जुलाहा",14000,"जुलाहिन"
10693,"गुरुआइन",2803,"गुरु"
10693,"गुरुआनी",2803,"गुरु"
10695,"धोबिन",1870,"धोबी"
10695,"धोबन",1870,"धोबी"
10695,"बरेठिन",1870,"बरेठा"
972,"कुरूप पुरुष",962,"कुरूप स्त्री"
972,"बदसूरत आदमी",962,"बदसूरत औरत"
972,"कुरूप व्यक्ति",962,"बदसूरत महिला"
11329,"नवाबज़ादा",11330,"नवाबज़ादी"
11329,"नवाबजादा",11330,"नवाबजादी"
11330,"नवाबज़ादी",11329,"नवाबज़ादा"
11330,"नवाबजादी",11329,"नवाबजादा"
11664,"मज़दूरनी",7503,"मज़दूर"
11664,"मज़दूरिन",7503,"मज़दूर"
11664,"मजदूरिन",7503,"मजदूर"
11664,"मजदूरनी",7503,"मजदूर"
11665,"मज़दूरनी",7503,"मज़दूर"
11665,"मज़दूरिन",7503,"मज़दूर"
11665,"मजदूरिन",7503,"मजदूर"
11665,"मजदूरनी",7503,"मजदूर"
11783,"भाईसाहब",12359,"बहनजी"
11783,"भैया",12359,"बहन"
11783,"भाई",12359,"बहिन"
12031,"घसियारिन",8711,"घसियारा"
12031,"घसियारी",8711,"घसियारा"
12210,"डॉक्टरनी",3639,"डॉक्टर"
12210,"डाक्टरनी",3639,"डाक्टर"
12754,"पंडुकी",2204,"पंडुक"
12810,"चमचा",12638,"चमची"
12638,"चमची",12810,"चमचा"
3718,"अविवाहिता",3764,"अविवाहित"
3718,"अविवाहित महिला",3764,"अविवाहित  पुरुष"
3718,"कुँआरी स्त्री",3764,"कुँआरा पुरुष"
3718,"कुँआरी",3764,"कुँआरा"
3854,"विवाहित",12878,"विवाहिता"
3854,"विवाहित पुरुष",12878,"विवाहित महिला"
9001,"ताई",5955,"ताऊ"
9007,"तपस्विनी",5929,"तपस्वी"
9007,"तापसी",5929,"तपसी"
9827,"पनाती",28980,"पनातिन"
8952,"डोमिन",5853,"डोम"
8983,"तपस्विनी",5929,"तपस्वी"
8983,"तापसी",5929,"तापस"
13829,"तेलिन",13830,"तेली"
13830,"तेली",9044,"तेलिन"
13830,"तेली",13829,"तेलिन"
12878,"विवाहिता",3854,"विवाहित"
12878,"विवाहित महिला",3854,"विवाहित पुरुष"
12931,"कवित्री",4220,"कवि"
12931,"कवयित्री",4220,"कवि"
7731,"मेहतर",13947,"मेहतरानी"
7731,"भंगी",13947,"भंगिन"
7731,"जमादार",13947,"जमादारिन"
7731,"शौचालय कर्मी",13947,"शौचालय कर्मी"
13879,"नर",13880,"मादा"
9431,"पहलौठी",9410,"पहलौठा"
9431,"पहलौंठी",9410,"पहलौंठा"
9431,"पहलौटी",9410,"पहलौटा"
9385,"परदादा",4596,"परदादी"
